id_venda,id_cliente,id_produto,quantidade,data_venda
1,1,1,2,2026-01-15
2,1,5,3,2026-01-15
3,2,3,1,2026-01-16
4,2,8,2,2026-01-16
5,3,9,5,2026-01-17
6,4,2,1,2026-01-18
7,4,7,1,2026-01-18
8,5,4,2,2026-01-19
9,6,6,1,2026-01-20
10,7,1,1,2026-01-21
11,7,10,2,2026-01-21
12,8,3,3,2026-01-22
13,9,5,2,2026-01-23
14,10,8,1,2026-01-24
15,1,2,1,2026-02-01
16,2,4,1,2026-02-02
17,3,6,2,2026-02-03
18,4,9,3,2026-02-04
19,5,10,1,2026-02-05
20,6,1,1,2026-02-06
21,11,2,1,2026-02-07
22,12,3,2,2026-02-08
23,13,7,1,2026-02-09
24,14,5,3,2026-02-10
25,15,9,2,2026-02-11
26,1,8,1,2026-02-12
27,2,1,1,2026-02-13
28,3,10,1,2026-02-14
29,4,6,1,2026-02-15
30,5,7,1,2026-02-16
